url,brewery,name
https://www.ratebeer.com/beer/youngs-bitter-cask/44387/,WELLS,Young’s Bitter
https://www.ratebeer.com/beer/youngs-london-gold--kew-gold-cask/106744/,WELLS,Young’s London Gold
https://www.ratebeer.com/beer/wells-bombardier-glorious-english-bottle/4463/,WELLS,Bombardier
https://www.ratebeer.com/beer/youngs-special-london-ale/140/,WELLS,Young’s Special
https://www.ratebeer.com/beer/wild-weather-serendipity/416385/,WILD WEATHER,Serendipity
https://www.ratebeer.com/beer/wild-weather-betrayal-mosaic/469479/,WILD WEATHER,Betrayal
https://www.ratebeer.com/beer/wild-weather-back-to-the-winchester/531393/,WILD WEATHER,Back To The Winchester
,WILD WEATHER,Be Hop A Lula
,WINDSOR & ETON,Parklife
https://www.ratebeer.com/beer/windsor-eton-knight-of-the-garter/127123/,WINDSOR & ETON,Knight of the Garter
https://www.ratebeer.com/beer/windsor-eton--4-pines-corker/346233/,WINDSOR & ETON,Corker Summer Bitter
https://www.ratebeer.com/beer/windsor-eton-firefly/436169/73218/,WINDSOR & ETON,Firefly Blonde
https://www.ratebeer.com/beer/windsor-eton-windsor-knot/142775/,WINDSOR & ETON,Windsor Knot
https://www.ratebeer.com/beer/windsor-eton-guardsman/124528/,WINDSOR & ETON,Guardsman
https://www.ratebeer.com/beer/windsor-eton-boatman/180329/,WINDSOR & ETON,Eton Boatman
https://www.ratebeer.com/beer/windsor-eton-kohinoor-bottle/172029/,WINDSOR & ETON,Kohinoor IPA
https://www.ratebeer.com/beer/wold-top-anglers-reward/146884/,WOLD TOP,Angler's Reward
https://www.ratebeer.com/beer/wolf-lavender-honey/19467/,WOLF,Norfolk Lavender Honey
https://www.ratebeer.com/beer/worsthorne-blackthorne-stout/237677/,WORSTHORNE,Blackthorne Stout
,WYCHWOOD,Hobgoblin Original
,XT,4
,XT,2
,XT,3
,XT,1
https://www.ratebeer.com/beer/xt-13-pacific-red-ale/201819/,XT,13 Pacific Red Ale
https://www.ratebeer.com/beer/xt-15-english-ipa/316015/,XT,15 English IPA
,XT,17
,XT,9
https://www.ratebeer.com/beer/york-guzzler-cask/19405/,YORK,Guzzler
https://www.ratebeer.com/beer/yorkshire-heart-rhu-bar-beer/320120/,YORKSHIRE HEART,Rhu Bar Beer
http://www.ratebeer.com/beer/yorkshire-heart-get-pithed/322209/,YORKSHIRE HEART,Get Pithed Orange Fruit Beer
https://www.ratebeer.com/beer/yorkshire-heart-black-heart-stout/224411/4953/,YORKSHIRE HEART,Blackheart Stout
